horizon,dml_irf,dml_lo90,dml_hi90,dml_fstat,baseline_irf,baseline_lo90,baseline_hi90
0,0.001388099473316373,-0.02279057523192849,0.025566774178561236,0.00891883231360526,-0.023976323860097182,-0.07004907244763012,0.022096424727435747
1,-0.02812512876065206,-0.05959260881347149,0.003342351292167367,2.1617074146936495,-0.07657168783953239,-0.14860300225801784,-0.004540373421046934
2,-0.03575132575192643,-0.07061680700391984,-0.0008858444999330292,2.8452784763937404,-0.12316886705366414,-0.20616443780987215,-0.040173296297456126
3,-0.0979314169099448,-0.13476682965166487,-0.06109600416822471,19.12690935805376,-0.12821484876121758,-0.22068493343789608,-0.03574476408453908
4,-0.12076260932481966,-0.15951693288872476,-0.08200828576091457,26.275830962584966,-0.13242890800802343,-0.2338419863852047,-0.03101582963084215
5,-0.12452480118435824,-0.1653969701537948,-0.0836526322149217,25.118178848484742,-0.14242709129166542,-0.2536857936126111,-0.031168388970719704
6,-0.14298260643106875,-0.18494802277209493,-0.10101719009004256,31.41341497529655,-0.17395882027358311,-0.2900301349539435,-0.05788750559322273
7,-0.1147805989196424,-0.15646852671481798,-0.07309267112446682,20.51389658278688,-0.1373092487951908,-0.2644850808177567,-0.010133416772624887
8,-0.0639009277956713,-0.10737153901647425,-0.020430316574868344,5.847290073834816,-0.07840380638981514,-0.229688193902043,0.07288058112241272
9,-0.03736493400778791,-0.08420419688398692,0.009474328868411097,1.7220277275131832,-0.061386983270494966,-0.2166161270942899,0.09384216055329997
10,-0.023454914420747507,-0.0699754975467389,0.02306566870524388,0.687874500067315,-0.0487830162969658,-0.2062479308904273,0.10868189829649572
11,-0.01923389440686197,-0.06533089099044571,0.026863102176721776,0.4711085640730499,0.007105819790467649,-0.14242300470746708,0.15663464428840237
12,-0.017246734585928087,-0.06697679518724067,0.032483326015384506,0.325467469686303,-0.01803264822547135,-0.16906345356083133,0.13299815710988863
13,0.008683167824953014,-0.039529091634307706,0.056895427284213734,0.0877754822759189,-0.03594644088525456,-0.20121704799066106,0.12932416622015194
14,0.0023922361057056346,-0.04844208552454897,0.053226557735960245,0.0059927453207620105,-0.07310200610663742,-0.2460099560581053,0.09980594384483046
15,-0.008835268945422062,-0.05821697537271408,0.04054643748186996,0.0866241858668104,-0.04273585619239384,-0.21332872077161305,0.12785700838682537
16,0.01845037555226293,-0.027416172740617268,0.06431692384514313,0.4378749582803082,-0.0740585286721398,-0.24194609832038122,0.09382904097610162
17,0.06044661361305899,0.013032070771681517,0.10786115645443646,4.397973624076143,-0.05474740398994982,-0.20726006814708967,0.09776526016719003
18,0.04759724076317508,-0.001417600525441376,0.09661208205179153,2.55176195126025,0.028437429321002128,-0.11734186332208538,0.17421672196408963
19,0.01024155592367334,-0.03609336779488861,0.056576479642235285,0.13220466542166306,0.09366319007767743,-0.0476273362440785,0.23495371639943335
20,0.011663282512411425,-0.03400380150624003,0.057330366531062875,0.1765089910284866,0.11011419658484556,-0.04200663164843904,0.26223502481813016
21,0.06111609370738744,0.009369365423409805,0.11286282199136508,3.7746543409321216,0.10771807236210407,-0.05069850307050386,0.26613464779471196
22,0.021701179839171324,-0.027795474553480727,0.07119783423182338,0.5201718032972056,0.08234872808134241,-0.0789674655730738,0.24366492173575863
23,0.03234696555116714,-0.023286803138866607,0.08798073424120088,0.9147911103191779,0.08423915500043222,-0.08561523269463528,0.2540935426954997
24,-0.016898174541474964,-0.06336331965105192,0.029566970568101994,0.35789595691880693,0.15107349562640593,-0.016797295020026526,0.3189442862728384
25,0.025978303532072956,-0.024987433536142106,0.07694404060028802,0.7030670738400412,0.20707676785696094,0.01625530877868797,0.3978982269352339
26,0.04877439097891917,-0.0010470566573845055,0.09859583861522284,2.593479564144323,0.17964385027698881,0.025744860942620462,0.33354283961135717
27,0.08217508261238715,0.029253635698095776,0.13509652952667853,6.524521762072578,0.22431480663044567,0.07046235808131346,0.3781672551795779
28,0.12974494803691494,0.07690247032284131,0.18258742575098857,16.313470863995665,0.2330559506604004,0.07337528220773534,0.39273661911306545
29,0.11639300308908408,0.0626051929068279,0.17018081327134027,12.671202304865451,0.2292854848060415,0.06610351260384734,0.39246745700823565
30,0.05545336823342909,0.0092411382413507,0.10166559822550748,3.896492215841462,0.1999841320566702,0.0330917172469839,0.3668765468663565
31,0.07027495804528208,0.01511561369959144,0.12543430239097272,4.3923284060944505,0.19732236328582076,0.0160713867699728,0.37857333980166874
32,0.07163190361145876,0.012055045834617854,0.13120876138829965,3.9119167354529654,0.25457574829488294,0.09600485066337683,0.41314664592638906
33,0.07919362150047674,0.01940644632361927,0.1389807966773342,4.74784074316333,0.28609807044540503,0.1266111750453697,0.4455849658454404
34,0.09017549641916091,0.0315108670170339,0.14884012582128792,6.393758452927724,0.30533585628381843,0.13219923032931682,0.47847248223832006
35,0.08298544620319719,0.026665079996730824,0.13930581240966355,5.8749575309555295,0.2848623950071669,0.10722791335019946,0.4624968766641344
36,0.10769039856844424,0.052596337815792746,0.16278445932109575,10.33894454805812,0.20195927417171333,0.03707188618376314,0.36684666215966355
37,0.13004419515752158,0.07399952824720983,0.18608886206783332,14.56951725564765,0.2134942092775418,0.05513641497798927,0.37185200357709436
38,0.09144246190449358,0.03383035689517989,0.14905456691380728,6.8171074208457565,0.17770519860914646,0.015497562333002118,0.3399128348852908
39,0.0760240582924246,0.014229704804700302,0.13781841178014892,4.095777136510689,0.18034801644898835,0.004009963254996585,0.3566860696429801
40,0.03949054665070139,-0.026101363204169677,0.10508245650557246,0.9808837562872813,0.13568976108717834,-0.043274493332610936,0.3146540155069676
41,0.02589711524517247,-0.046560524193859275,0.09835475468420421,0.3456736066402065,0.07936799922345017,-0.0954344027145641,0.25417040116146444
42,0.022367929438839553,-0.06341166417338101,0.10814752305106012,0.18399897507616902,0.11139559867478965,-0.059433088931451133,0.28222428628103047
43,-0.008101591595673486,-0.09368912180325846,0.07748593861191148,0.024246636918021296,0.11258150529238264,-0.054647052425447096,0.2798100630102124
44,-0.003890827893835605,-0.08935279204723816,0.08157113625956695,0.005608801964868225,0.12553557914861813,-0.04392982959279132,0.2950009878900276
45,0.000870749515152501,-0.09215383134096963,0.09389533037127465,0.0002370952445810345,0.10224667155489442,-0.07312986153128509,0.27762320464107393
46,0.04155043922784232,-0.05531237463795938,0.13841325309364402,0.4979306733664187,0.08604723328880937,-0.07943947136571389,0.2515339379433326
47,0.10556005314318133,0.022298288540117422,0.18882181774624524,4.3495044876467235,0.09955501398781053,-0.06500588849992175,0.2641159164755428
48,0.11064126556789602,-0.008667511141821155,0.2299500422776132,2.3271334487346045,0.055519152160741214,-0.12152577710339013,0.23256408142487256
