h,coef,se,lo90,hi90,lo95,hi95
0,0.03068302072420437,0.044836877934320105,-0.04307364347775221,0.10443968492616094,-0.05719726002706303,0.11856330147547177
1,0.0013317888039665604,0.0625067455253036,-0.10149180758515786,0.10415538519309098,-0.12118143242562848,0.1238450100335616
2,-0.040809890501698476,0.09482731093203839,-0.19680081698490162,0.11518103598150467,-0.2266714199284937,0.14505163892509676
3,-0.07115086416308714,0.11895380602296692,-0.26682987507086775,0.12452814674469345,-0.30430032396810225,0.161998595641928
4,-0.09923475093086154,0.1282863419001885,-0.31026578335667165,0.11179628149494855,-0.350675981055231,0.15220647919350794
5,-0.17041946112742323,0.13924351178395394,-0.39947503801202744,0.058636115757181,-0.44333674422397296,0.10249782196912649
6,-0.14021871493650906,0.1389661496776981,-0.36881803115632245,0.08838060128330433,-0.41259236830479734,0.13215493843177922
7,-0.14994167597124886,0.15717607314735152,-0.4084963162986421,0.10861296435614437,-0.45800677934005785,0.15812342739756013
8,-0.22242222306671522,0.1864263414250859,-0.5290935547109815,0.08424910857755108,-0.5878178522598836,0.14297340612645315
9,-0.2257656004737716,0.17958612074162553,-0.5211847690937456,0.06965356814620238,-0.5777543971273575,0.12622319617981442
10,-0.21979952333554453,0.17542708195695414,-0.5083770731547341,0.068778026483645,-0.5636366039711747,0.12403755730008559
11,-0.25548003698626687,0.1638890563555999,-0.5250775346912286,0.014117460718694963,-0.5767025874432427,0.06574251347070892
12,-0.2463536165722644,0.16511080780623325,-0.5179608954135181,0.025253662268989285,-0.5699707998724816,0.07726356672795276
13,-0.27905621972581685,0.18070819398044585,-0.5763211988236503,0.018208759372016603,-0.6332442799274907,0.07513184047585703
14,-0.2835616140449133,0.19406686334681247,-0.6028016042504198,0.03567837616059322,-0.6639326662046657,0.09680943811483911
15,-0.28944152181448146,0.21452225540865563,-0.6423306319617199,0.06344758833275704,-0.7099051424154466,0.13102209878648358
16,-0.2478637670248105,0.19771925936063198,-0.57311194867305,0.0773844146234291,-0.6353935153716492,0.13966598132202818
17,-0.20840294384021263,0.19749099858789826,-0.5332756365173053,0.11646974883688,-0.5954853010724932,0.17867941339206794
18,-0.2752623137899093,0.19997715930583362,-0.6042247408480056,0.05370011326818702,-0.6672175460293432,0.11669291844952462
19,-0.2846120219800383,0.201377287262895,-0.6158776595275006,0.04665361556742398,-0.6793115050153125,0.11008746105523587
20,-0.26660035114501035,0.18422456483731578,-0.5696497603023949,0.036449058012374136,-0.6276804982261492,0.0944797959361286
21,-0.2211242252299117,0.17029182996859568,-0.5012542855282516,0.059005835068428214,-0.5548962119683593,0.11264776150853584
22,-0.11399688212225101,0.1607719183999441,-0.378466687890159,0.150472923645657,-0.4291098421861414,0.20111607794163938
23,-0.10160959794961855,0.19363554166404712,-0.42014006398697606,0.21692086808773897,-0.4811352596111509,0.2779160637119138
24,-0.17347363090368617,0.22301737728433585,-0.5403372165364186,0.1933899547290463,-0.6105876903809844,0.2636404285736121
25,-0.16723184216493792,0.19207949918665682,-0.4832026183269884,0.14873893399711258,-0.5437076605707853,0.20924397624090946
26,-0.11587779847286583,0.1809660185299804,-0.41356689895468357,0.1818113020089519,-0.4705711947916274,0.23881559784589573
27,-0.04352968216539921,0.17631598351720174,-0.33356947505119605,0.24651011072039763,-0.3891090098591146,0.3020496455283162
28,0.05126456673087887,0.19616108242121616,-0.2714204138520217,0.37394954731377944,-0.3332111548147048,0.43574028827646255
29,0.114593761245942,0.24212363952115729,-0.2836996257663617,0.5128871482582458,-0.35996857221552625,0.5891560947074103
30,0.08768440680341882,0.23200878845042383,-0.29397005019752837,0.469338863804366,-0.36705281855941185,0.5424216321662495
31,0.1422762223890004,0.2298541318270853,-0.23583382446655493,0.5203862692445558,-0.3082378759920868,0.5927903207700875
32,0.11118317303407821,0.20745074051343193,-0.23007329511051733,0.45243964117867375,-0.2954202783722484,0.5177866244404048
33,0.07156757878829012,0.19857972868260595,-0.2550960748945967,0.3982312324711769,-0.31764868942961755,0.4607838470061978
34,0.03884248687018044,0.19696250155306552,-0.28516082818461236,0.36284580192497323,-0.34720401617382796,0.42488898991418883
35,0.11310694629560203,0.21380901976942338,-0.23860889122509943,0.4648227838163035,-0.3059587324524678,0.5321726250436718
36,0.16346107680919886,0.2562214649568057,-0.2580232330447465,0.5849453866631442,-0.33873299450614025,0.665655148124538
37,0.1640260489505181,0.25032572547324505,-0.24775976945297,0.5758118673540062,-0.3266123729770422,0.6546644708780784
38,0.13806055762438518,0.2536569950581302,-0.27920519924623904,0.5553263144950094,-0.35910715268955,0.6352282679383203
39,0.11977861516197663,0.27540322368179776,-0.3332596877945807,0.572816918118534,-0.420011703254347,0.6595689335783003
40,0.1315732648622543,0.29911812375536995,-0.3604760487153293,0.6236225784398379,-0.45469825769827077,0.7178447874227794
41,0.25364131812762025,0.29626508615749647,-0.23371474860146146,0.740997384856702,-0.32703825074107284,0.8343208869963133
42,0.3480425852758344,0.2743413067692036,-0.10324886435950548,0.7993340349111744,-0.18966637599180458,0.8857515465434734
43,0.3524550929707857,0.22319493373470498,-0.014700573022803975,0.7196107589643754,-0.08500697714923605,0.7899171630908075
44,0.3131333964740861,0.20831337068139832,-0.029542098296814145,0.6558088912449864,-0.0951608100614546,0.7214276030096268
45,0.3003886831450018,0.17539329082947172,0.01186671973052078,0.5889106465594828,-0.043382166880762796,0.6441595331707664
46,0.28300703831996543,0.16508659929520736,0.011439582479349342,0.5545744941605815,-0.04056269629864101,0.6065767729385718
47,0.40258349359885415,0.1664669240880869,0.1287454034739512,0.676421583723757,0.07630832238620383,0.7288586648115045
48,0.4153861346690064,0.18688113600442305,0.10796666594173049,0.7228056033962824,0.04909910810033724,0.7816731612376756
